COMMON_USAGE_NAME,RESPONSIBILITY_AREA,LOCAL_GOVERNMENT_NAME,REST_AREA_TYPE,STAY_24_HOUR,OWNERSHIP,SURFACE,SURFACE_TYPE,CONSTRUCTED_SHELTER,NATURAL_SHADE,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,LATITUDE,LONGITUDE
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,3,0,No,0,No,-27.5032241979999,114.720161951
Brand Hwy,Mid West-Gascoyne,Carnamah,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-29.8489844329999,115.25705394
South Coast Hwy,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,1,No,-33.665446372,120.627015813
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,1,Yes,0,No,-22.6609756719999,116.21774234
Vasse Hwy,South West,Busselton (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-33.70287553,115.398190589
Great Northern Hwy,Mid West-Gascoyne,Meekatharra,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-25.991570066,118.745987196
Coolgardie Esperance Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-31.692589488,121.674755176
Bruce Rock Merredin Rd,Wheatbelt,Bruce Rock,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-31.8005126529999,118.190991825
Agnew Sandstone Rd,Goldfields - Esperance,Sandstone,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-27.9464133819999,119.599289463
Goldfields Hwy,Goldfields - Esperance,Wiluna,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-26.553680051,119.971348487
Brand Hwy,Mid West-Gascoyne,Carnamah,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,0,No,-29.8185820479999,115.26226485
Katanning Nyabing Rd,Great Southern,Kent,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,No,1,0,No,1,No,-33.541131725,118.147680272
Agnew Sandstone Rd,Goldfields - Esperance,Sandstone,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,3,0,No,0,No,-27.939055948,119.631228004
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,5,0,No,0,No,-23.1174437879999,114.524039836
Brookton Hwy,Wheatbelt,Kulin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-32.6197387349999,119.35718186
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,3,0,No,2,No,-31.892256725,127.662064543
Muir Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-34.3442802179999,116.379474926
Great Northern Hwy,Mid West-Gascoyne,Yalgoo,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-29.2828615,117.593177306
South Western Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-34.957021197,116.595026402
South Western Hwy,South West,Waroona,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,2,Yes,-32.8065406599999,115.903786988
South Coast Hwy,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-34.779402752,118.284154235
Northam Pithara Rd,Wheatbelt,Wongan - Ballidu,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-30.962558437,116.758108974
Chester Pass Rd,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-34.468861568,118.063477974
Great Northern Hwy,Mid West-Gascoyne,Cue,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-27.1202951779999,118.084434631
Donnybrook Kojonup Rd,South West,Boyup Brook,Major Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-33.91275408,116.449836561
Coolgardie Esperance Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-31.021192323,121.294585684
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-20.792185977,116.762210346
Ripon Hills Rd,Pilbara,East Pilbara,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-21.323626754,121.108071322
Hassell Rd,Great Southern,Jerramungup,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.940314343,118.92145392
Princess Royal Dr,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,1,No,-35.026938463,117.869172663
Coolgardie Esperance Hwy,Goldfields - Esperance,Esperance,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-33.340162678,121.715682278
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-28.1608102169999,120.98106786
Great Northern Hwy,Mid West-Gascoyne,Yalgoo,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,3,0,No,1,Yes,-28.802659704,117.838058723
Great Northern Hwy,Wheatbelt,Chittering,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,3,No,-31.200546367,116.17648371
Chester Pass Rd,Great Southern,Gnowangerup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-34.225124335,118.220359204
Hanrahan Rd,Great Southern,Albany (C),Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,0,0,No,0,No,-35.0170166619999,117.860658004
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,0,No,-32.0222038549999,122.846006019
Newdegate Ravensthorpe Rd,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.365316714,119.878845858
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.568836855,114.52214679
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.866500146,114.633404179
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.9784068819999,117.127414931
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,5,1,No,1,No,-31.8407682599999,128.130170234
South Coast Hwy,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.597704237,119.906028786
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-20.8345072939999,117.252277434
Great Northern Hwy,Pilbara,Broome,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,1,0,No,0,No,-19.87344516,120.585193202
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-28.2812455879999,114.622181032
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-25.7033149019999,114.233163916
South Western Hwy,South West,Harvey,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-33.1259845349999,115.876960097
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.7684352329999,116.508312716
Great Eastern Hwy,Wheatbelt,Northam,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,3,4,Yes,2,Yes,-31.7195669499999,116.523527052
Great Southern Hwy,Great Southern,Broomehill - Tambellup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-34.118221139,117.67750913
Midlands Rd,Mid West-Gascoyne,Mingenew,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-29.300515903,115.546795498
South Western Hwy,South West,Bridgetown - Greenbushes,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,2,0,No,0,No,-33.8081969739999,116.017280715
Great Southern Hwy,Great Southern,Cranbrook,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-34.266018797,117.607493399
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,3,2,No,2,No,-28.0428816629999,114.673355992
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,11,1,Yes,3,Yes,-31.9106336909999,127.287567893
Sues Rd,South West,Busselton (C),Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-33.79476684,115.419864889
Great Eastern Hwy,Wheatbelt,Merredin,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,0,No,-31.485735808,118.300145363
Bannister Marradong Rd,South West,Boddington,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-32.695508005,116.522662353
Goomalling Toodyay Rd,Wheatbelt,Toodyay,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,1,0,No,0,No,-31.5058336549999,116.596819788
Minilya Exmouth Rd,Mid West-Gascoyne,Exmouth,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-22.066636678,114.103104504
Karijini Dr,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.5866357469999,118.524862169
Northam Pithara Rd,Wheatbelt,Goomalling,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,1,0,No,1,No,-31.314480003,116.840732397
Great Southern Hwy,Wheatbelt,Beverley,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-32.133774151,116.930332108
Great Northern Hwy,Pilbara,East Pilbara,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-23.290435322,119.648897541
Chester Pass Rd,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,Yes,1,0,No,1,Yes,-34.5261662519999,118.029278836
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-31.907445411,126.874809179
Toodyay Bindi Bindi Rd,Wheatbelt,Victoria Plains,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,2,0,No,2,Yes,-31.091082316,116.448107652
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-27.920617143,120.670405802
Great Northern Hwy,Mid West-Gascoyne,Mount Magnet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-27.894781386,117.861271514
North West Coastal Hwy,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-22.395070049,115.524072711
Forrest Hwy,South West,Bunbury (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-33.333253607,115.688525251
Geraldton Mt Magnet Rd,Mid West-Gascoyne,Yalgoo,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.29947713,117.132848389
Mullewa Wubin Rd,Mid West-Gascoyne,Greater Geraldton (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.792538914,115.717041962
Coolgardie Esperance Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,5,0,No,2,No,-32.458827641,121.684524608
Brookton Hwy,Metropolitan,Armadale (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-32.115026482,116.146018327
Mt Magnet Sandstone Rd,Mid West-Gascoyne,Sandstone,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-28.0038771669999,118.932925312
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-20.758640919,116.98464347
Forrest Hwy,South West,Harvey,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,Yes,4,0,No,2,No,-33.1983664649999,115.71720095
Muir Hwy,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-34.5712796179999,117.233566199
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.555120555,116.129398869
Manuwarra Red Dog Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-21.130175607,117.002155127
Great Eastern Hwy,Wheatbelt,Northam,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,No,0,0,No,2,No,-31.7380783999999,116.479451399
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.1754925279999,114.376177375
Albany Hwy,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-34.945499503,117.802556174
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-20.798755087,116.809311803
Coolgardie Esperance Hwy,Goldfields - Esperance,Esperance,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.272381724,121.716183057
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-27.588326218,114.698906016
Goomalling Toodyay Rd,Wheatbelt,Goomalling,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-31.482602745,116.620311378
Albany Hwy,Great Southern,Kojonup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-33.6760694069999,117.103284892
Pingrup Lake Grace Rd,Great Southern,Kent,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-33.429173229,118.513848868
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-21.55648131,115.966989464
Albany Hwy,Wheatbelt,Williams,Heavy Vehicle Rest Area,Yes,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,2,No,-32.878054149,116.685150277
Dumbleyung Lake Grace Rd,Wheatbelt,Dumbleyung,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.1827371159999,117.93624838
Goldfields Hwy,Goldfields - Esperance,Kalgoorlie - Boulder (C),Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,2,0,No,1,No,-30.7133644969999,121.471650803
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.2363593919999,114.64603189
Great Northern Hwy,Mid West-Gascoyne,Meekatharra,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,1,Yes,-26.7422436479999,118.404280989
Great Northern Hwy,Mid West-Gascoyne,Cue,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-27.0069687459999,118.212025457
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-20.758608437,116.984831956
Kulin Kondinin Rd,Wheatbelt,Kulin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-32.601235506,118.216933959
Minilya Exmouth Rd,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.90444446,113.917627003
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,1,0,No,1,No,-27.0570895459999,114.636369426
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,1,Yes,-24.895627846,113.708742126
Newdegate Ravensthorpe Rd,Wheatbelt,Lake Grace,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.0913155699999,119.472394362
Agnew Sandstone Rd,Goldfields - Esperance,Sandstone,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,4,0,No,0,No,-28.01040132,119.946602763
Coolgardie Esperance Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-31.577190177,121.607750139
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-27.811503761,120.575639942
Great Eastern Hwy,Wheatbelt,Westonia,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-31.379301265,118.565539408
Great Northern Hwy,Kimberley,Wyndham - East Kimberley,Major Rest Area,Yes,Main Roads,Surfaced,Single Seal,Yes,No,1,3,Yes,4,No,-15.868439522,128.371718385
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,4,0,No,1,No,-31.9894530949999,126.547214682
Sues Rd,South West,Nannup,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-34.0066895329999,115.390663889
South Coast Hwy,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-34.562846394,118.528497865
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-20.759289005,117.13263111
Coolgardie Esperance Hwy,Goldfields - Esperance,Esperance,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.1026088679999,121.692790573
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,3,0,No,1,No,-31.928917795,126.778604168
Muir Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-34.437508263,116.667631364
Newdegate Ravensthorpe Rd,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.437794702,119.944849836
Brand Hwy,Mid West-Gascoyne,Greater Geraldton (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,3,0,No,0,No,-28.838454978,114.641349715
Albany Hwy,Wheatbelt,Wandering,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-32.44221134,116.310124176
Great Eastern Hwy,Wheatbelt,Merredin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,1,0,No,1,No,-31.5341112419999,118.084764275
South Western Hwy,South West,Harvey,Minor Rest Area,No,Main Roads,Surfaced,Unknown,No,No,0,0,No,0,No,-33.0933015909999,115.900044194
Quairading York Rd,Wheatbelt,Beverley,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-31.99787857,117.165085421
Chester Pass Rd,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-34.876360974,117.936307824
Bruce Rock Merredin Rd,Wheatbelt,Bruce Rock,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-31.8305558499999,118.172346588
Great Northern Hwy,Wheatbelt,Dalwallinu,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-30.1439978559999,116.651413481
Albany Hwy,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-34.4903338299999,117.582227259
South Western Hwy,South West,Murray,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,4,0,No,2,No,-32.700658446,115.877161841
Burkett Rd,Mid West-Gascoyne,Exmouth,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-22.658238889,114.160529821
South Coast Hwy,Great Southern,Ravensthorpe,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.59952091,120.185203938
Great Northern Hwy,Pilbara,Meekatharra,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-24.012538105,119.732922867
Mt Magnet Sandstone Rd,Mid West-Gascoyne,Mount Magnet,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,1,0,No,0,No,-28.165774384,118.323309839
Great Eastern Hwy,Wheatbelt,Tammin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,1,No,-31.6449867659999,117.442842213
Goomalling Toodyay Rd,Wheatbelt,Goomalling,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-31.383196324,116.71518499
Coolgardie Esperance Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-32.2227676919999,121.774648986
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-24.135866892,114.050174275
Midlands Rd,Mid West-Gascoyne,Three Springs,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-29.4892719769999,115.686826356
Brand Hwy,Mid West-Gascoyne,Dandaragan,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-30.228098743,115.4159692
Great Northern Hwy,Mid West-Gascoyne,Meekatharra,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.8389912129999,118.367605185
Stewart Rd,South West,Nannup,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-34.274461093,115.663235628
Goomalling Wyalkatchem Rd,Wheatbelt,Dowerin,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,1,0,No,3,No,-31.1877309459999,117.063844352
Minilya Exmouth Rd,Mid West-Gascoyne,Exmouth,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.6328805169999,114.023456003
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-24.399196688,114.008605797
Gnowangerup Jerramungup Rd,Great Southern,Gnowangerup,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,Yes,1,0,No,1,No,-34.0260106929999,118.268354002
Toodyay Rd,Wheatbelt,Toodyay,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-31.606558747,116.452718604
South Western Hwy,Great Southern,Denmark,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,0,No,-34.961922022,117.350283879
Karijini Dr,Pilbara,Ashburton,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-22.600623835,117.970342069
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.97004772,117.197759824
Goldfields Hwy,Goldfields - Esperance,Wiluna,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-26.5906315079999,120.205076443
Forrest Hwy,South West,Harvey,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-33.0587968209999,115.728438581
Great Eastern Hwy,Goldfields - Esperance,Coolgardie,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,2,0,No,1,No,-30.8549784329999,121.327631023
Forrest Hwy,South West,Waroona,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,1,No,-32.913699762,115.717960815
Broomehill Gnowangerup Rd,Great Southern,Broomehill - Tambellup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-33.881157957,117.791853272
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.657229984,116.213525421
Ripon Hills Rd,Pilbara,East Pilbara,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-21.3160796779999,121.089931817
North West Coastal Hwy,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,No,3,0,No,1,Yes,-22.1509726039999,115.541405105
Great Eastern Hwy,Goldfields - Esperance,Yilgarn,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-31.295789274,119.654988169
Bindoon Moora Rd,Wheatbelt,Victoria Plains,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-30.8956914729999,116.02981761
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-32.3937643699999,124.47220517
Muir Hwy,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-34.65226038,117.488648646
Great Northern Hwy,Pilbara,Port Hedland (T),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-21.464032979,118.724943104
Goldfields Hwy,Goldfields - Esperance,Kalgoorlie - Boulder (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-30.9436553589999,121.556113407
