COMMON_USAGE_NAME,RESPONSIBILITY_AREA,LOCAL_GOVERNMENT_NAME,REST_AREA_TYPE,STAY_24_HOUR,OWNERSHIP,SURFACE,SURFACE_TYPE,CONSTRUCTED_SHELTER,NATURAL_SHADE,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,LATITUDE,LONGITUDE
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,3,0,No,0,No,-27.5032242,114.720162
Brand Hwy,Mid West-Gascoyne,Carnamah,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-29.84898443,115.2570539
South Coast Hwy,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,1,No,-33.66544637,120.6270158
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,1,Yes,0,No,-22.66097567,116.2177423
Vasse Hwy,South West,Busselton (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-33.70287553,115.3981906
Great Northern Hwy,Mid West-Gascoyne,Meekatharra,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-25.99157007,118.7459872
Coolgardie Esperance Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-31.69258949,121.6747552
Bruce Rock Merredin Rd,Wheatbelt,Bruce Rock,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-31.80051265,118.1909918
Agnew Sandstone Rd,Goldfields - Esperance,Sandstone,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-27.94641338,119.5992895
Goldfields Hwy,Goldfields - Esperance,Wiluna,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-26.55368005,119.9713485
Brand Hwy,Mid West-Gascoyne,Carnamah,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,0,No,-29.81858205,115.2622649
Katanning Nyabing Rd,Great Southern,Kent,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,No,1,0,No,1,No,-33.54113173,118.1476803
Agnew Sandstone Rd,Goldfields - Esperance,Sandstone,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,3,0,No,0,No,-27.93905595,119.631228
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,5,0,No,0,No,-23.11744379,114.5240398
Brookton Hwy,Wheatbelt,Kulin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-32.61973873,119.3571819
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,3,0,No,2,No,-31.89225673,127.6620645
Muir Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-34.34428022,116.3794749
Great Northern Hwy,Mid West-Gascoyne,Yalgoo,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-29.2828615,117.5931773
South Western Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-34.9570212,116.5950264
South Western Hwy,South West,Waroona,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,2,Yes,-32.80654066,115.903787
South Coast Hwy,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-34.77940275,118.2841542
Northam Pithara Rd,Wheatbelt,Wongan - Ballidu,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-30.96255844,116.758109
Chester Pass Rd,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-34.46886157,118.063478
Great Northern Hwy,Mid West-Gascoyne,Cue,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-27.12029518,118.0844346
Donnybrook Kojonup Rd,South West,Boyup Brook,Major Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-33.91275408,116.4498366
Coolgardie Esperance Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-31.02119232,121.2945857
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-20.79218598,116.7622103
Ripon Hills Rd,Pilbara,East Pilbara,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-21.32362675,121.1080713
Hassell Rd,Great Southern,Jerramungup,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.94031434,118.9214539
Princess Royal Dr,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,1,No,-35.02693846,117.8691727
Coolgardie Esperance Hwy,Goldfields - Esperance,Esperance,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-33.34016268,121.7156823
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-28.16081022,120.9810679
Great Northern Hwy,Mid West-Gascoyne,Yalgoo,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,3,0,No,1,Yes,-28.8026597,117.8380587
Great Northern Hwy,Wheatbelt,Chittering,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,3,No,-31.20054637,116.1764837
Chester Pass Rd,Great Southern,Gnowangerup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-34.22512434,118.2203592
Hanrahan Rd,Great Southern,Albany (C),Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,0,0,No,0,No,-35.01701666,117.860658
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,0,No,-32.02220385,122.846006
Newdegate Ravensthorpe Rd,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.36531671,119.8788459
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.56883686,114.5221468
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.86650015,114.6334042
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.97840688,117.1274149
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,5,1,No,1,No,-31.84076826,128.1301702
South Coast Hwy,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.59770424,119.9060288
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-20.83450729,117.2522774
Great Northern Hwy,Pilbara,Broome,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,1,0,No,0,No,-19.87344516,120.5851932
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-28.28124559,114.622181
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-25.7033149,114.2331639
South Western Hwy,South West,Harvey,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-33.12598453,115.8769601
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.76843523,116.5083127
Great Eastern Hwy,Wheatbelt,Northam,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,3,4,Yes,2,Yes,-31.71956695,116.5235271
Great Southern Hwy,Great Southern,Broomehill - Tambellup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-34.11822114,117.6775091
Midlands Rd,Mid West-Gascoyne,Mingenew,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-29.3005159,115.5467955
South Western Hwy,South West,Bridgetown - Greenbushes,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,2,0,No,0,No,-33.80819697,116.0172807
Great Southern Hwy,Great Southern,Cranbrook,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-34.2660188,117.6074934
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,3,2,No,2,No,-28.04288166,114.673356
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,11,1,Yes,3,Yes,-31.91063369,127.2875679
Sues Rd,South West,Busselton (C),Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-33.79476684,115.4198649
Great Eastern Hwy,Wheatbelt,Merredin,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,0,No,-31.48573581,118.3001454
Bannister Marradong Rd,South West,Boddington,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-32.69550801,116.5226624
Goomalling Toodyay Rd,Wheatbelt,Toodyay,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,1,0,No,0,No,-31.50583365,116.5968198
Minilya Exmouth Rd,Mid West-Gascoyne,Exmouth,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-22.06663668,114.1031045
Karijini Dr,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.58663575,118.5248622
Northam Pithara Rd,Wheatbelt,Goomalling,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,1,0,No,1,No,-31.31448,116.8407324
Great Southern Hwy,Wheatbelt,Beverley,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-32.13377415,116.9303321
Great Northern Hwy,Pilbara,East Pilbara,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-23.29043532,119.6488975
Chester Pass Rd,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,Yes,1,0,No,1,Yes,-34.52616625,118.0292788
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-31.90744541,126.8748092
Toodyay Bindi Bindi Rd,Wheatbelt,Victoria Plains,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,2,0,No,2,Yes,-31.09108232,116.4481077
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-27.92061714,120.6704058
Great Northern Hwy,Mid West-Gascoyne,Mount Magnet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-27.89478139,117.8612715
North West Coastal Hwy,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-22.39507005,115.5240727
Forrest Hwy,South West,Bunbury (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-33.33325361,115.6885253
Geraldton Mt Magnet Rd,Mid West-Gascoyne,Yalgoo,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.29947713,117.1328484
Mullewa Wubin Rd,Mid West-Gascoyne,Greater Geraldton (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.79253891,115.717042
Coolgardie Esperance Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,5,0,No,2,No,-32.45882764,121.6845246
Brookton Hwy,Metropolitan,Armadale (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-32.11502648,116.1460183
Mt Magnet Sandstone Rd,Mid West-Gascoyne,Sandstone,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-28.00387717,118.9329253
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-20.75864092,116.9846435
Forrest Hwy,South West,Harvey,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,Yes,4,0,No,2,No,-33.19836646,115.717201
Muir Hwy,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-34.57127962,117.2335662
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.55512056,116.1293989
Manuwarra Red Dog Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-21.13017561,117.0021551
Great Eastern Hwy,Wheatbelt,Northam,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,No,0,0,No,2,No,-31.7380784,116.4794514
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.17549253,114.3761774
Albany Hwy,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-34.9454995,117.8025562
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-20.79875509,116.8093118
Coolgardie Esperance Hwy,Goldfields - Esperance,Esperance,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.27238172,121.7161831
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-27.58832622,114.698906
Goomalling Toodyay Rd,Wheatbelt,Goomalling,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-31.48260275,116.6203114
Albany Hwy,Great Southern,Kojonup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-33.67606941,117.1032849
Pingrup Lake Grace Rd,Great Southern,Kent,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-33.42917323,118.5138489
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-21.55648131,115.9669895
Albany Hwy,Wheatbelt,Williams,Heavy Vehicle Rest Area,Yes,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,2,No,-32.87805415,116.6851503
Dumbleyung Lake Grace Rd,Wheatbelt,Dumbleyung,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.18273712,117.9362484
Goldfields Hwy,Goldfields - Esperance,Kalgoorlie - Boulder (C),Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,2,0,No,1,No,-30.7133645,121.4716508
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.23635939,114.6460319
Great Northern Hwy,Mid West-Gascoyne,Meekatharra,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,1,Yes,-26.74224365,118.404281
Great Northern Hwy,Mid West-Gascoyne,Cue,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-27.00696875,118.2120255
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-20.75860844,116.984832
Kulin Kondinin Rd,Wheatbelt,Kulin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-32.60123551,118.216934
Minilya Exmouth Rd,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.90444446,113.917627
North West Coastal Hwy,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,1,0,No,1,No,-27.05708955,114.6363694
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,1,Yes,-24.89562785,113.7087421
Newdegate Ravensthorpe Rd,Wheatbelt,Lake Grace,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.09131557,119.4723944
Agnew Sandstone Rd,Goldfields - Esperance,Sandstone,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,4,0,No,0,No,-28.01040132,119.9466028
Coolgardie Esperance Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-31.57719018,121.6077501
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-27.81150376,120.5756399
Great Eastern Hwy,Wheatbelt,Westonia,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-31.37930127,118.5655394
Great Northern Hwy,Kimberley,Wyndham - East Kimberley,Major Rest Area,Yes,Main Roads,Surfaced,Single Seal,Yes,No,1,3,Yes,4,No,-15.86843952,128.3717184
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,4,0,No,1,No,-31.98945309,126.5472147
Sues Rd,South West,Nannup,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-34.00668953,115.3906639
South Coast Hwy,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-34.56284639,118.5284979
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-20.75928901,117.1326311
Coolgardie Esperance Hwy,Goldfields - Esperance,Esperance,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.10260887,121.6927906
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,3,0,No,1,No,-31.9289178,126.7786042
Muir Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-34.43750826,116.6676314
Newdegate Ravensthorpe Rd,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.4377947,119.9448498
Brand Hwy,Mid West-Gascoyne,Greater Geraldton (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,3,0,No,0,No,-28.83845498,114.6413497
Albany Hwy,Wheatbelt,Wandering,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-32.44221134,116.3101242
Great Eastern Hwy,Wheatbelt,Merredin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,1,0,No,1,No,-31.53411124,118.0847643
South Western Hwy,South West,Harvey,Minor Rest Area,No,Main Roads,Surfaced,Unknown,No,No,0,0,No,0,No,-33.09330159,115.9000442
Quairading York Rd,Wheatbelt,Beverley,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-31.99787857,117.1650854
Chester Pass Rd,Great Southern,Albany (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-34.87636097,117.9363078
Bruce Rock Merredin Rd,Wheatbelt,Bruce Rock,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-31.83055585,118.1723466
Great Northern Hwy,Wheatbelt,Dalwallinu,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-30.14399786,116.6514135
Albany Hwy,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-34.49033383,117.5822273
South Western Hwy,South West,Murray,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,4,0,No,2,No,-32.70065845,115.8771618
Burkett Rd,Mid West-Gascoyne,Exmouth,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-22.65823889,114.1605298
South Coast Hwy,Great Southern,Ravensthorpe,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.59952091,120.1852039
Great Northern Hwy,Pilbara,Meekatharra,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-24.01253811,119.7329229
Mt Magnet Sandstone Rd,Mid West-Gascoyne,Mount Magnet,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,1,0,No,0,No,-28.16577438,118.3233098
Great Eastern Hwy,Wheatbelt,Tammin,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,1,No,-31.64498677,117.4428422
Goomalling Toodyay Rd,Wheatbelt,Goomalling,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-31.38319632,116.715185
Coolgardie Esperance Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-32.22276769,121.774649
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-24.13586689,114.0501743
Midlands Rd,Mid West-Gascoyne,Three Springs,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-29.48927198,115.6868264
Brand Hwy,Mid West-Gascoyne,Dandaragan,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-30.22809874,115.4159692
Great Northern Hwy,Mid West-Gascoyne,Meekatharra,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-26.83899121,118.3676052
Stewart Rd,South West,Nannup,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-34.27446109,115.6632356
Goomalling Wyalkatchem Rd,Wheatbelt,Dowerin,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,1,0,No,3,No,-31.18773095,117.0638444
Minilya Exmouth Rd,Mid West-Gascoyne,Exmouth,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.63288052,114.023456
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-24.39919669,114.0086058
Gnowangerup Jerramungup Rd,Great Southern,Gnowangerup,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,Yes,1,0,No,1,No,-34.02601069,118.268354
Toodyay Rd,Wheatbelt,Toodyay,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-31.60655875,116.4527186
South Western Hwy,Great Southern,Denmark,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,0,No,-34.96192202,117.3502839
Karijini Dr,Pilbara,Ashburton,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-22.60062384,117.9703421
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.97004772,117.1977598
Goldfields Hwy,Goldfields - Esperance,Wiluna,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-26.59063151,120.2050764
Forrest Hwy,South West,Harvey,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,0,0,No,0,No,-33.05879682,115.7284386
Great Eastern Hwy,Goldfields - Esperance,Coolgardie,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,2,0,No,1,No,-30.85497843,121.327631
Forrest Hwy,South West,Waroona,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,1,No,-32.91369976,115.7179608
Broomehill Gnowangerup Rd,Great Southern,Broomehill - Tambellup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-33.88115796,117.7918533
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.65722998,116.2135254
Ripon Hills Rd,Pilbara,East Pilbara,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-21.31607968,121.0899318
North West Coastal Hwy,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,No,3,0,No,1,Yes,-22.1509726,115.5414051
Great Eastern Hwy,Goldfields - Esperance,Yilgarn,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-31.29578927,119.6549882
Bindoon Moora Rd,Wheatbelt,Victoria Plains,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-30.89569147,116.0298176
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-32.39376437,124.4722052
Muir Hwy,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-34.65226038,117.4886486
Great Northern Hwy,Pilbara,Port Hedland (T),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-21.46403298,118.7249431
Goldfields Hwy,Goldfields - Esperance,Kalgoorlie - Boulder (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-30.94365536,121.5561134
Great Northern Hwy,Pilbara,East Pilbara,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-23.36417611,119.7603108
North West Coastal Hwy,Pilbara,Karratha (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-20.92757738,117.7070465
